loan_part_id,due_date,pay_principal,pay_interest,lender_fee,borrower,status,annualised_rate,credit_band
19734448,2017-07-09,0.27,0.14,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2017-08-09,0.27,0.15,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2017-09-09,0.27,0.14,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2017-10-09,0.27,0.14,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2017-11-09,0.28,0.14,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2017-12-09,0.27,0.14,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-01-09,0.28,0.14,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-02-09,0.28,0.13,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-03-09,0.29,0.13,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-04-09,0.28,0.13,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-05-09,0.29,0.13,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-06-09,0.29,0.13,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-07-09,0.29,0.12,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-08-09,0.3,0.12,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-09-09,0.29,0.12,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-10-09,0.3,0.11,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-11-09,0.3,0.12,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2018-12-09,0.31,0.11,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-01-09,0.3,0.11,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-02-09,0.31,0.11,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-03-09,0.31,0.1,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-04-09,0.31,0.1,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-05-09,0.32,0.1,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-06-09,0.32,0.1,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-07-09,0.32,0.1,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-08-09,0.32,0.09,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-09-09,0.32,0.09,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-10-09,0.33,0.09,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-11-09,0.33,0.09,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2019-12-09,0.33,0.08,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-01-09,0.33,0.08,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-02-09,0.34,0.08,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-03-09,0.34,0.07,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-04-09,0.34,0.08,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-05-09,0.35,0.07,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-06-09,0.34,0.07,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-07-09,0.35,0.06,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-08-09,0.36,0.07,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-09-09,0.35,0.06,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-10-09,0.36,0.05,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-11-09,0.36,0.06,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2020-12-09,0.36,0.05,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-01-09,0.37,0.05,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-02-09,0.37,0.05,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-03-09,0.37,0.04,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-04-09,0.37,0.04,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-05-09,0.38,0.04,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-06-09,0.38,0.04,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-07-09,0.38,0.03,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-08-09,0.38,0.03,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-09-09,0.39,0.03,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-10-09,0.39,0.02,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-11-09,0.4,0.02,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2021-12-09,0.4,0.02,0.01,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2022-01-09,0.4,0.01,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2022-02-09,0.4,0.02,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2022-03-09,0.4,0.01,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2022-04-09,0.41,0.0,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2022-05-09,0.42,0.01,0.0,Asset Finance Loan,live,9.0,A (Low risk)
19734448,2017-06-09,0.26,0.15,0.02,Asset Finance Loan,live,9.0,A (Low risk)
19714077,2017-06-08,0.23,0.22,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2017-07-08,0.24,0.22,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2017-08-08,0.24,0.22,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2017-09-08,0.24,0.22,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2017-10-08,0.25,0.21,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2017-11-08,0.25,0.21,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2017-12-08,0.25,0.21,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-01-08,0.25,0.21,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-02-08,0.26,0.2,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-03-08,0.26,0.2,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-04-08,0.26,0.2,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-05-08,0.27,0.19,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-06-08,0.27,0.19,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-07-08,0.27,0.19,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-08-08,0.27,0.19,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-09-08,0.28,0.18,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-10-08,0.28,0.18,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-11-08,0.29,0.17,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2018-12-08,0.29,0.18,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-01-08,0.29,0.17,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-02-08,0.29,0.16,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-03-08,0.3,0.17,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-04-08,0.3,0.15,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-05-08,0.3,0.16,0.02,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-06-08,0.31,0.15,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-07-08,0.31,0.15,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-08-08,0.32,0.15,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-09-08,0.32,0.14,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-10-08,0.32,0.14,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-11-08,0.32,0.13,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2019-12-08,0.33,0.13,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-01-08,0.33,0.13,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-02-08,0.34,0.13,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-03-08,0.34,0.12,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-04-08,0.34,0.11,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-05-08,0.35,0.11,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-06-08,0.35,0.11,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-07-08,0.36,0.11,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-08-08,0.36,0.1,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-09-08,0.36,0.09,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-10-08,0.37,0.1,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-11-08,0.37,0.08,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2020-12-08,0.38,0.09,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-01-08,0.38,0.08,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-02-08,0.39,0.07,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-03-08,0.38,0.07,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-04-08,0.4,0.07,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-05-08,0.4,0.06,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-06-08,0.4,0.06,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-07-08,0.41,0.05,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-08-08,0.41,0.05,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-09-08,0.41,0.05,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-10-08,0.42,0.04,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-11-08,0.43,0.03,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2021-12-08,0.43,0.03,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2022-01-08,0.43,0.03,0.01,Working Capital Loan,live,13.5,C (Average risk)
19714077,2022-02-08,0.44,0.02,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2022-03-08,0.45,0.01,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2022-04-08,0.45,0.01,0.0,Working Capital Loan,live,13.5,C (Average risk)
19714077,2022-05-08,0.46,0.01,0.0,Working Capital Loan,live,13.5,C (Average risk)
19710675,2017-06-07,0.26,0.15,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2017-07-07,0.27,0.14,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2017-08-07,0.27,0.15,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2017-09-07,0.27,0.14,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2017-10-07,0.27,0.14,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2017-11-07,0.28,0.14,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2017-12-07,0.27,0.14,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-01-07,0.28,0.14,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-02-07,0.28,0.13,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-03-07,0.29,0.13,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-04-07,0.28,0.13,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-05-07,0.29,0.13,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-06-07,0.29,0.13,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-07-07,0.29,0.12,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-08-07,0.3,0.12,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-09-07,0.29,0.12,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-10-07,0.3,0.11,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-11-07,0.3,0.12,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2018-12-07,0.31,0.11,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-01-07,0.3,0.11,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-02-07,0.31,0.11,0.02,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-03-07,0.31,0.1,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-04-07,0.31,0.1,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-05-07,0.32,0.1,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2022-05-07,0.42,0.01,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2022-04-07,0.41,0.0,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2022-03-07,0.4,0.01,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2022-02-07,0.4,0.02,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2022-01-07,0.4,0.01,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-12-07,0.4,0.02,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-11-07,0.4,0.02,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-10-07,0.39,0.02,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-09-07,0.39,0.03,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-08-07,0.38,0.03,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-07-07,0.38,0.03,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-06-07,0.38,0.04,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-05-07,0.38,0.04,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-04-07,0.37,0.04,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-03-07,0.37,0.04,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-02-07,0.37,0.05,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2021-01-07,0.37,0.05,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-12-07,0.36,0.05,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-11-07,0.36,0.06,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-10-07,0.36,0.05,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-09-07,0.35,0.06,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-08-07,0.36,0.07,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-07-07,0.35,0.06,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-06-07,0.34,0.07,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-05-07,0.35,0.07,0.0,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-04-07,0.34,0.08,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-03-07,0.34,0.07,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-02-07,0.34,0.08,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2020-01-07,0.33,0.08,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-12-07,0.33,0.08,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-11-07,0.33,0.09,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-10-07,0.33,0.09,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-09-07,0.32,0.09,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-08-07,0.32,0.09,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-07-07,0.32,0.1,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19710675,2019-06-07,0.32,0.1,0.01,Expansion And Growth Loan,live,9.0,A (Low risk)
19671019,2017-06-05,0.48,0.14,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2017-07-05,0.5,0.13,0.02,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2017-08-05,0.49,0.14,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2017-09-05,0.5,0.13,0.02,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2017-10-05,0.51,0.13,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2017-11-05,0.51,0.12,0.02,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2017-12-05,0.51,0.12,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2018-01-05,0.51,0.12,0.02,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2018-02-05,0.52,0.11,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2018-03-05,0.52,0.11,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2018-04-05,0.53,0.11,0.02,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2018-05-05,0.53,0.1,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
